"Title","Theme","Category","Publisher","PublicationYear","ISBN","CoverType","CopiesNo","PhotocopiesNo","Topic1","Topic2","Topic3","Author1","Author2","Author3","Author4"
"HELIOS II, Ευρωπαϊκός Οδηγός Ορθής Πρακτικής","Παροχή Ίσων Ευκαιριών στα Άτομα με Ειδικές Ανάγκες","guide","European Commission","1996","9282776514","paperback","1","0","","","","","","",""
"Helios Third Conference of the European Community on Disability and Education","This report contains papers on Handicap and Education","proceedings","Helios Programme","1991","","paperback","1","0","Disability","","","","","",""
"How to Communicate Technical Information","This book describes how to write printed and online computer documentation that is simple, clear, interesting, and user-friendly.","book","Benjamin/Cummings Publishing Company","1993","0805368299","paperback","1","0","","","","Korman  Henry","","",""
"HTML 3 Electronic Publishing on the World Wide Web","This book provides a unique insider's perspective on the development of HTML and the Web, together with fascinating insights into the community that created them.","book","Addison-Wesley Publishing Company","1996","0201876930","διαφάνεια","0","1","","","","Lam  Jenny","Alagar S. V.","Alexander  Ian",""
"Human-Computer Interface Design","This book describes the principles of and practices in human-computer interfacing, based on applied psychology, while integrating the approach with methods of software engineering.","book","Macmillan Press","1988","0333428994","paperback","1","0","","","","","","",""
"Human-Virtual Environment Interaction HCI '95","Tutorial notes on HCI International '95","book","University of Central Florida","1995","","διαφάνεια","0","1","","","","","","",""
"Human Engineering Guide to Equipment Design","This book was written primarily for those who must make human engineering decisions about equipment design and use.","book","National Technical Information Service","1972","","paperback","1","0","Ergonomics","","","Cott P. Harold","Kinkade G. Robert","",""
"Human Factors Author's Guide","This guide has been edited to assist authors in preparating manuscripts in the style required for publication in the journal ""Human Factors"".","guide","Human Factors and Ergonomics Society","1994","","paperback","1","0","General Purpose","","","","","",""
"Human Factors Guidelines for Multimedia","This report gives guidelines for designers of Multimedia systems and services and includes information on display characteristics and input devices.","report","HUSAT Research Centre","","","paperback","2","0","","","","Clarke M. Anne","","",""
"Human Factors Guidelines for Videotelephony","This report provides human factors guidelines for designers of videotelephony systems and services.","report","HUSAT Research Centre","","","paperback","2","0","","","","","","",""
"Human Factors in Management Information Systems","This book is intended as a professional reference resource for both designers of real-world management information systems (MIS) and academicians who are interested in teaching and researching in the area of MIS.","book","Ablex Publishing Corporation","1988","0893914487","hardbound","1","0","","","","","","",""
"IBM Personal System/2 SpeechViewer Four Case Studies","This volume contains articles about test sites experiences with Vocalization","book","IBM Corporation","","","spiral","0","1","","","","Horner  Jennifer","","",""
"ICAART 88","The theme of this conference is not just on technology but it is also a conference on ways to deliver technological solutions my means of public policy, the health and social services delivery system and manufacturing industries.","proceedings","RESNA Press","1988","0932101178","paperback","0","1","","","","","","",""
"ICT Standardization and Disability in Europe European Policy Workshop","This workshop was organized by Danish Centre for technical aids and was held in Amsterdam in April 1996.","report","ETSI (European Telecommunications Standards Institute)","1996","8789407598","paperback","1","0","","","","","","",""
"IEEE Standard Dictionary of Electrical and Electronics Terms (Fourth Edition)","The largest current list of acronymus used in electrical and electronic science, business and industry, government, and the military.","book","IEEE Press","1988","1559370009","hardbound","1","0","","","","Goetz A. J.","","",""
"Informatica, Didattica e Disabilita, Vol. I","Progetti di ricerca e nuove tecnologie","proceedings","Consiglio Nazionale delle Ricerche","1992","","paperback","1","0","","","","Saba  A.","Alberti  C.","",""
"Informatica, Didattica e Disabilita, Vol. II","Esperienze didattiche e di integrazione del disabile","proceedings","Consiglio Nazionale delle Ricerche","1992","","paperback","1","0","","","","","","",""
"Informatica, Didattica e Disabilita, Vol. III","Informatica e riabilitazione","proceedings","Consiglio Nazionale delle Ricerche","1992","","paperback","1","0","","","","","","",""
"Information Management DOCMIX State-of-the-Art and Market Requirements in Europe Electronic Image Ba","This study represents a first analysis of one of the latest technologies of potential interest to the information services market, namely Electronic Image Banks.","report","Commission of the European Communities","1988","","paperback","1","0","","","","Gagliari  Isabella","Rampini  Anna","",""
"Information Technologies and Sciences European Research Project COST 209, Man-Machine Communication ","This report gives an account of research under COST project 209 on Speech Synthesis.","report","ECSC-EEC-EAEC","1989","","paperback","1","0","","","","","","",""
"INFOSEC'94 The Security of Information Systems","This report summarises the results of the programme of INFOSEC projects carried out against the action lines given in this Council Decision, taking into account the work of other activities within European level.","report","Commission of the European Communities","1994","","without cover","1","0","","","","","","",""
"Integrated Interfaces and their Architecture","This paper describes the work in HUFIT B3.4 and B5.2 concerning multimedia and user interface management systems.","report","ESPRIT","1988","","διαφάνεια","1","1","","","","Trefz  Bernhard","Ziegler E. J.","",""
"Integrating Technology into Computer Science Education","This volume contains all the papers, panels, demonstrations, and posters presented at the 1st SIGCSE/SIGCUE Conference on Integrating Technology into Computer Science Education, held in Barcelona Spain June 2-6, 1996.","proceedings","ACM Press","1996","0897918444","paperback","1","0","","","","","","",""
"Intelligent Cities (A Report from the RACE Workshop)","This report includes papers on Intelligent Cities","report","Commission of the European Communities","1990","","paperback","1","0","","","","","","",""
"Intelligent Help Communicating with Knowledge - Based Systems","This book with the help of pictures and conversations, draws together the research that needs to be considered when designing intelligent help facilities.","book","Chapman & Hall","1992","1853961361","spiral","0","1","","","","","","",""
"Intelligent Houses for the Blind","Presentation from Conference on the Smart House System at Maastricht 11-13 December 1989.","presentation","","","","without cover","1","0","Artificial Intelligence","","","","","",""
"Intelligent Houses for the Blind","Report of the Maastrich Workshop  December 11-13, 1989","report","Institute for Rehabilitation Research","1989","","paperback","2","0","","","","","","",""
"Intelligent Multimedia Interfaces","This book focuses specifically on those intelligent interfaces that exploit multiple media and models to facilitate human-computer communication.","book","AAAI Press/MIT Press","1993","0262631504","paperback","1","0","","","","","","",""
"Intelligent Systems in a Humman Context","This book is concerned with the development, application, and implications of intelligent systems.","book","Oxford Science Publications","1989","0198537360","hardbound","1","0","","","","Richardson T.E. John","","",""
"Intelligent Systems in Business: Integrating the Technology","This book is the proceedings of an August 1988 forum ""Increasing Management Productivity with Intelligent Systems"" held in Snowmass/Aspen, Colorado.","book","Ablex Publishing Corporation","1990","0893915505","hardbound","1","0","","","","","","",""
"Interactive Robotic Aids - One Option for Independent Living: An International Perspective","The goal of this book is to share with the U.S. rehabilitation community information and ideas from other countries which enhance the rehabilitation knowledge base in the U.S.","book","Word Rehabilitation Fund","1986","939986507","paperback","1","0","","","","","","",""
"INTERCHI '93 Bridges Between Worlds, Enabling Technology for Users with Special Needs","Tutorial Notes INTERCHI '93, Amsterdam, April 25, 1993.","proceedings","ACM Press","1993","","spiral","1","0","","","","Edwards D.N. Alistair","Mynatt  Elizabeth","",""
"INTERCHI '93 Bridges Between Worlds, Introduction and Overview of Human-Computer Interaction","This tutorial will provide a high-level introduction and overview of Human-Computer Interaction (HCI) for newcomers to the field.","proceedings","ACM Press","1993","","spiral","1","0","","","","","","",""
"Inventory of On-Going Research and Development Projects within the Field of Information Technology a","This report contains a short description on the projects, within the field of information technology and disability.","report","Swedish Institute for the Handicapped","1987","","paperback","1","0","","","","","","",""
"Investigation of the User Interface Component for the Termbank","General Aspects of the User Interface Design","report","ESPRIT","1988","","διαφάνεια","1","1","","","","Braun  Claudia","Hoepelman  Jaap","Mayer  Renate",""
"ISO and ANSI Ergonomic Standards for Computer Products A Guide to Implementation and Compliance","1. Computer software-Human factors-Standards 2. Electronic digital computers-Standards","book","Prentice-Hall","1996","013151119X","hardbound","1","0","","","","","","",""
"Kurzinformationen uber die Forschungsgruppe INFORM","Αναφορά ερευνητικής ομάδας σχετικά με τα projects που ασχολείται.","report","Forschungsgruppe INFORM","1988","","paperback","1","0","","","","Forschungsgruppe INFORM  ","","",""
"LATEX A Document Preparation System","1. LATEX (Computer system) 2. Computerized typesetting","book","Addison-Wesley Publishing Company","1986","020115790X","spiral","0","1","","","","Lamport  Leslie","Bibby  Duane","",""
"LAUSD/UCLA Microcomputer Project Resource Guide for use with Young Children with Disabilities","This Resource Guide has been developed to provide, in a compact format, comprehensive information about materials needed for computer use with young children","guide","UCLA","","","spiral","1","0","","","","","","",""
"Listen to This! (Part I)","This book is a book of comprehensive exercises for persons of all ages needing remediation in auditory processing skills.","book","Mayer-Johnson Company","1987","","spiral","0","1","","","","Johnson  Roxanna","","",""
"Listen to This! (Part II)","This chapter gives clients practice in improving memory of auditory information through a series of progressively more difficult exercises.","book","Mayer-Johnson Company","1987","","spiral","0","1","","","","","","",""
"Listing of the Organisations Participating or Interested in Participating in RACE Projects, OTR 201","This report contains the list of all RACE Contacts by Country Code.","report","Commission of the European Communities","1988","","paperback","1","0","","","","","","",""
"Low Vision People in the Environment of Telecommunication","Case Studies on special disabilities of LV-people in Telecom-situations","report","Universitat Dortmund","1989","","διαφάνεια","1","0","Telecommunications","","","","","",""
"Machine Perception","The author in his Machine Perception, explores the growing field of visual perception.","book","Prentice-Hall","1982","0135419042","paperback","0","1","","","","","","",""
"Macintosh Development Tools & Languages Guide Book","This guidebook describes Prototyping tools, Development Environment and Languages, Object-Oriented Programming, UNIX Tools, Programmable Databases and Spreadsheets, Authoring Tools, Debuggers...","guide","Apple Computer","1991","","paperback","1","0","","","","","","",""
"Man-Machine Interfaces, Graphics and Practical Applications","This report includes papers on Graphics, Man-Machine Interaction and Applications.","report","RNIB (Royal National Institute for the Blind)","1988","0901797464","spiral","1","0","","","","Vlaskamp M. F.J.","Soede  M.","Butcher  G.",""
"Management of Technology II (Volume I)","Proceedings of the Second International Conference on Management of Technology.","proceedings","Industrial Engineering and Management Press","1990","","spiral","0","1","","","","Bayraktar A. Bulent","","",""
"Programme Management Audit of RACE, DRIVE, DELTA and AIM","Report of an external Audit Team","report","Commission of the European Communities","1989","","paperback","1","0","","","","","","",""
"Project 7-11: Exploring Maths Book 2","This book is a lively and imaginative way to give your child a flying start in Maths, a start which could be vital to later educational success.","book","Letts","1989","0850978416","paperback","1","0","","","","Rodda  George","","",""
"Proposal for a Council Regulation on a Community Action in the Field of Information Technology and T","This report includes the explotation of the advances in information technologies, telecommunications to improve medical care.","report","Commission of the European Communities","1987","","paperback","1","0","","","","","","",""
"Proposal for a European Action Plan in Bio-Informatics","The overall orientation of the proposal is to promote the development of new technologies in biotechnology and information technology and their application in the European economy.","report","Commission of the European Communities","1986","","paperback","1","0","","","","Jacobsen Kofoed Henrik","Jakobsen Kvistgaard Leif","",""
"Prototype of the Termbank and its User Interface","This report describes the prototype of the GLOT termbank.","report","ESPRIT","1988","","διαφάνεια","1","1","","","","Mayer  Renate","","",""
"Publications from the GUIB Project up to September 1993","This report includes papers on Graphical User Interfaces for Blind People","report","GUIB Consortium","1993","","paperback","1","0","","","","Stephanidis  Constantine","Gill M. John","Fellbaum R. Klaus","Fellbaum R. Klaus"
"R & D in Advanced Communications Technologies for Europe (RACE), Final Report on Phase I (1988-92)","This report is on Management and Evaluation of the RACE Programme.","report","Commission of the European Communities","1993","","paperback","1","0","","","","","","",""
"R & D in Advanced Communications Technologies for Europe (RACE), Mid-term Report on Phase II (1991-9","This report is on Communication technologies of the RACE Programme","report","Commission of the European Communities","1994","","paperback","1","0","","","","","","",""
"R & D in Advanced Communications Technologies in Europe, RACE '90","This report describes the current status and future activities of the RACE Programme as it enters its third year.","report","Commission of the European Communities","1990","","paperback","1","0","","","","","","",""
"R & D in Advanced Communications Technologies in Europe, Workplan '91","Background Material-Rationale & Overview, Definition of Scope and Task Descriptions","report","Commission of the European Communities","1990","","paperback","2","0","","","","","","",""
"R & D in Advanced Road Transport Telematics in Europe, DRIVE'91","This report has been produced with the intention of informing all interested parties about the scope of all the existing projects.","report","Commission of the European Communities","1991","","paperback","1","0","","","","","","",""
"R & D on Telematic Systems for Administrations","This report concerns the area ""Administrations"" of the programme Telematic Systems of General Interest.","report","Commission of the European Communities","1991","","paperback","1","0","","","","Ott W. Karl","","",""
"R & D on Telematic Systems for Administrations, Workplan '91","This report provides the Rationale and Overview, Definition of Scope, and Task Description.","report","Commission of the European Communities","1991","","paperback","3","0","","","","","","",""
"R & D on Telematic Systems in Flexible and Distance Learning, Workplan '91","This report describes Workplan '91 concerning the specific Programme of ""Telematics Systems for Flexible and Distance Learning"".","report","Commission of the European Communities","1991","","paperback","2","0","","","","","","",""
"R & D on Telematic Systems in Health Care, Workplan '91","Backgroud Material - Rationale & Overview, Definition of Scope and Task Descriptions -","report","Commission of the European Communities","1991","","paperback","1","0","","","","","","",""
"R & T Development on Transnational Telematic Systems for Administrations, ENS 1992","This report describes the R & D on Transeuropean Telematic Systems for Administrations.","report","Commission of the European Communities","1992","","paperback","1","0","","","","Moseley  Alan","de Bruijn  Bas","Cannon  Elaine",""
"R&D in Information and Communication Based Learning Technology, DELTA '90","DELTA addresses issues related to the use, for learning, of new emerging technologies in the areas of Information Technology, Telecommunications and Broadcasting.","report","Commission of the European Communities","1990","","paperback","4","0","","","","","","",""
"RACE Common Functional Specifications","This document is a brief outline of RACE Project.","report","RACE R1045 Project Consensus Management","1990","","paperback","4","0","","","","","","",""
"RACE Common Functional Specifications and Common Practice Recommendations, Document 14, Usability an","This document reflects the progress made in RACE CFS/CPR over the last twelve months.","report","RACE R2083 Project Consensus Management","1993","","paperback","1","0","","","","","","",""
"RACE Common Functional Specifications, Document 1, General Aspects of IBC and IBC Services","This document concerns mainly the Reference Models of IBC, Description of an IBC Service and Description of a Multi-media Conference Service.","report","Commission of the European Communities","1990","9282630064","paperback","2","0","","","","","","",""
"RACE Common Functional Specifications, Document 1, General Aspects of IBC and IBC Services","This document concerns mainly the Multistage Approach for the description and characterisation of Telecommunication Services and IBC Services.","report","RACE R1045 Project Consensus Management","1991","","paperback","1","0","","","","","","",""
"RACE Common Functional Specifications, Document 10, Usability Requirements and Protocol Conformance ","This document includes: Usability Requirements for IBC, User Characteristics relevant to Design and Uptake of IBC Services, Protocol Conformance Testing","report","RACE R1045 Project Consensus Management","1991","","paperback","1","0","","","","","","",""
"RACE Common Functional Specifications, Document 11, General Terminology","This document concerns Vocubulary of Terms for IBC.","report","RACE R1045 Project Consensus Management","1991","","paperback","1","0","","","","","","",""
"RACE Common Functional Specifications, Document 2, Networking and Internetworking 1","This document concerns the IBC Functional Reference Model (IBC FRM)","report","RACE R1045 Project Consensus Management","1990","","paperback","1","0","","","","","","",""
"RACE Common Functional Specifications, Document 2, Networking and Internetworking 1","This document includes: FRM & PRM, Connection Types, and Network Evolution.","report","RACE R1045 Project Consensus Management","1991","","paperback","1","0","","","","","","",""
"RACE Common Functional Specifications, Document 3, Networking and Internetworking 2","This document includes: Reference Configurations, Quality of Service, Signalling, and Network Performance Objectives.","report","RACE R1045 Project Consensus Management","1991","","paperback","1","0","","","","","","",""
"RACE Common Functional Specifications, Document 6, Network Management","This document is based on work in the Network Management Projects.","report","RACE R1045 Project Consensus Management","1990","","paperback","1","0","","","","","","",""
"RACE Common Functional Specifications, Document 7, Network Evolution Terminals and CPN","This document concerns i) General Aspects of Audio-visual Services within IBC, ii) CPN Reference Configurations and Functional Models, iii) Network Evolution iv) TMN Evolution","report","RACE R1045 Project Consensus Management","1991","","paperback","1","0","","","","","","",""
"RACE Common Functional Specifications, Document 7, Network Management Services","This document includes mainly Design, Planning, Installation Services in TMN, Security Management","report","RACE R1045 Project Consensus Management","1991","","paperback","1","0","","","","","","",""
"RACE Common Functional Specifications, Document 8, General Terminology","This document concerns Vocubulary of Terms for IBC.","report","RACE R1045 Project Consensus Management","1991","","paperback","1","0","","","","","","",""
"RACE Common Functional Specifications, Document 8, Network Management Evolution","This document includes TMN Evolution, TMN Reference Configuration and Evolution Methodologies.","report","RACE R1045 Project Consensus Management","1991","","paperback","1","0","","","","","","",""
"RACE Common Functional Specifications, Document 9, Coding, Terminals and CPN","This document concerns mainly the General Principles of Video Coding, CPN Transmission and Switching Systems.","report","RACE R1045 Project Consensus Management","1991","","paperback","1","0","","","","","","",""
"RACE Common Functional Specifications, Usage Implications","This document lists the IBC Common Functional Specifications as defined by R1045 and identifies the usage implications of each.","report","RACE R1045/1077 Project Consensus Management","1991","","paperback","1","0","","","","","","",""
"RACE Consolidate Preliminary Report of the RDP Projects","This document provides a virtually complete summary of the many results of the RDP (RACE Definition Phase).","report","Commission of the European Communities","1987","","spiral","1","0","","","","","","",""
"RACE Project Deliverables","This report contains deliverables by project.","report","Commission of the European Communities","1988","","spiral","1","0","","","","","","",""
"RACE Project Integration of People with Special Needs in IBC","Contents pages from RESNA Proceedings 1984-1988 AAC Journal 1985-1988 (Resna 7th Annual Conference)","proceedings","","","","spiral","1","0","","","","","","",""
"Rehabilitation Engineering","Part 1: Selected Papers, Part 2 : Proceedings of the REHAB-3 Workshop, Part 3: Reports on the Series of Workshops on Rehabilitation Engineering","proceedings","United Nations","1995","9211165954","paperback","1","0","Rehabilitation Engineering","","","","","",""
"Rehabilitation Engineering Department Annual Report 1993/94","This report provides insights into our future directions for facilitating the needs of phisically disabled children and young adults through the applications of science and technology.","report","The Hugh MacMillan Rehabilitation Centre","1994","","paperback","1","0","","","","Milner  Morris","Revzani  Julie","Smith  Brad",""
"Rehabilitation Engineering Department Annual Report 1994/95","This report of the 1994/95 activities provides an insight into our diverse activities and acknowledges the generous support of our many contributors.","report","The Hugh MacMillan Rehabilitation Centre","1995","","paperback","1","0","","","","Schuller  Reinhard","Shein  Fraser","",""
"Rehabilitation Engineering Department, Annual Report 1992/93","The reports in this document reflect work completed or in progress between January 1992 and March 1993.","report","The Hugh MacMillan Rehabilitation Centre","1993","","paperback","1","0","","","","","","",""
"Rehabilitation R&D Progress Reports 1989","This report is an annual supplement to the Journal of Rehabilitation R&D, and is the seventh compilation of ongoing work in rehabilitation research and engineering activity.","report","Department of Veterans Affairs Veterans Health Administration","1990","","paperback","1","0","","","","","","",""
"Rehabilitation R&D Progress Reports 1989","This report is an annual supplement to the Journal of Rehabilitation R&D, and contains on going work in rehabilitation research and engineering activities.","report","Department of Veterans Affairs Veterans Health Administration","1996","","paperback","1","0","","","","McAleer  Neil","","",""
"Rehabilitation R&D Progress Reports 1991","This report is an annual supplement to the Journal of Rehabilitation R&D, and contains ongoing work in rehabilitation research and engineering activity.","report","Department of Veterans Affairs Veterans Health Administration","1992","","paperback","1","0","","","","","","",""
"Rehabilitation R&D Progress Reports 1992-1993","This report is an annual supplement to the Journal of Rehabilitation R&D, and contains work in the field of rehabilitation research and development both 1992 and 1993.","report","Department of Veterans Affairs Veterans Health Administration","1994","","paperback","1","0","","","","","","",""
"Rehabilitation Technology Service Delivery: A Practical Guide","This publication represents the cornerstone of a new era in rehabilitation engineering and technology.","proceedings","RESNA Press","1987","0932101143","paperback","1","0","","","","Enders  Alexandra","","",""
"Report on Active Materials for a Tactile Display","This report presents some existing technical devices used as a reading aid for the blind.","report","Technical Research Centre of Finland","","","διαφάνεια","1","0","Technical Aids","","","Stubb  Henrik","","",""
"Report on Administrative & Management Information in Hospitals","This is a brief overview of Information Technology in the health sector, in European countries.","report","Commission of the European Communities","1986","","paperback","1","0","","","","","","",""
"Research & Development in Advanced Communications Technologies in Europe, RACE'91","This report presents the achievements and the status of the RACE Programme by the end of 1990 and describes the planning and the continuing activities for 1991.","report","Commission of the European Communities","1991","","paperback","2","0","","","","","","",""
"Research and Technology Development in Advanced Communications Technologies in Europe RACE 1994","This report represents the achievements and the status of the RACE Programme at the end of 1993 and describes the planning and the continuing activities for 1994.","report","Commission of the European Communities","1994","9282600009","paperback","1","0","","","","","","",""
"Research and Technology Development in Advanced Communications Technologies in Europe RACE 1995","This report is the result of a collective effort of the RACE Projects and the RACE Team of the European Commission for 1995.","report","Commission of the European Communities","1995","9282695506","paperback","1","0","","","","","","",""
"Research and Technology Development in Advanced Communications Technologies in Europe, RACE 1992","This report presents the achievements and the status of the RACE Programme at the end of 1991, and describes the planning and the continuing activities for 1992.","report","Commission of the European Communities","1992","","paperback","1","0","","","","Heenan  Nick","","",""
"Research and Technology Development in Advanced Communications Technologies in Europe, RACE 1993","This report represents the achievements and the status of the RACE Programme at the end of 1992 and describes the planning and the continuing activities for 1993.","report","Commission of the European Communities","1993","","paperback","2","0","","","","","","",""
"Research and Technology Development in Advanced Road Transport Telematics DRIVE 1992","This report provides all interested parties with information on the overall strategic impact of the DRIVE programes.","report","Commission of the European Communities","1992","","paperback","1","0","","","","Murphy  Eddie","","",""
"Research and Technology Development in Advanced Road Transport Telematics Transport Telematics 1993","This document is one of seven annual reports  on the EC Programme for the development of Telematic Systems in Areas of General Interest.","report","Commission of the European Communities","1993","","paperback","1","0","","","","","","",""
"Research and Technology Development on Telematic Systems in Health Care, AIM 1992","This volume is a description of the technical content of the Health Care action line under the R&D programme for Telematics Systems of General Interest.","report","Commission of the European Communities","1992","","paperback","1","0","","","","","","",""
"Research and Technology Development on Telematic Systems in Health Care, AIM 1993","This volume is a description of the framework and of the technical content of the AIM programme of the Commmission of the European Communities.","report","Commission of the European Communities","1993","","paperback","2","0","","","","","","",""
"Research for Visually Disabled People: An International Guide","This Guide lists projects on non-medical research for visually disabled people that are being carried out in 1990.","book","RNIB Technical R&D Department","1990","0901797588","paperback","2","0","","","","Butcher  G.","","",""
"Research for Visually Disabled People: An International Guide","This Guide lists projects being carried out on non-medical research for visually disabled people.","book","RNIB Technical R&D Department","1992","0901797812","paperback","1","0","","","","","","",""
"Research Group for Rehabilitation Engineering","The objective of this study is to develop a methodology for the assessment of the cost-effectiveness of technical aids for disabled people at the individual and at the general level.","report","Technical Research Centre of Finland","1989","","διαφάνεια","1","0","","","","","","",""
"Research Information Handbook of Assistive Technology for Visually Disabled Persons","This section contains information about non-media research and developments projects for persons with a visual disability.","report","Tiresias Consortium","1993","","paperback","1","0","","","","Peuleve A. C.","","",""
"Research Information Handbook of Assistive Technology for Visually Disabled Persons","This is the first draft of a subject thesaurus for the Tiresias system and contains information about non-medical research and development projects for persons with a visual disability.","report","Tiresias Consortium","1994","1860480004","ντοσιέ","1","0","","","","Silver  Janet","Gould  E.","",""
"Research Report 1988","This report references to four main topics a) Communication b) Mobility and transportation c) Patient-related research and d) Independent living and working.","report","Institute for Rehabilitation Research","1989","","paperback","1","0","","","","","","",""
"Research Report 1990","1. Augumentative and Alternative Communication Research 2. Patient-related Rehabilitation Research 3. Independent Living Research, 4. Survey of IRV Research Projects","report","Institute for Rehabilitation Research","1991","","paperback","1","0","","","","","","",""
"Research Reports Anzai-Amano Laboratory April 1994 Through March 1995","This volume represents the research progressed fully or partly during April 1994 - March 1995 in Anzai-Amano laboratories.","report","Department of Computer Science Keio University","1995","","paperback","1","0","","","","Amano  Hideharu","","",""
"Resolution Methods for the Decision Problem","This volume contains work on the decision problem done in Kazan(Russia), Tallinn (Estonia) and Vienna (Austria).","book","Springer-Verlag Berlin","1993","3540567321","paperback","1","0","","","","Leitsch  A.","Tammet  T.","Zamov  N.",""
"Restoration of Walking Aided by Functional Electrical Stimulation","Proceedings of the topical workshop held in Enschede, The Netherlands concerning Functional Electrical Stimulation.","proceedings","Commission of the European Communities/COMAC BME","1987","","paperback","1","0","","","","","","",""
"Restoration of Walking for Paralysed Persons","Proceedings of the topical workshop held in Oswestry, Shropshire, England March 1985","proceedings","Commission of the European Communities COMAC BME","1986","","paperback","1","0","","","","","","",""
"Roget's International Thesaurus Fourth Edition","This book has a text of about 250000 words and phrases, arranged in categories by their meanings, and a comprehensive index.","book","Collins Publishers","1988","0004331761","hardbound","1","0","","","","","","",""
"RTD Mobilisation Seminars","Σεμινάρια για την Ενεργοποίηση της Ερευνας και Τεχνολογικής Ανάπτυξης Κοινωτικό Πλαίσιο Στήριξης 1994-1999.","report","European Commission","1994","","spiral","0","1","","","","","","",""
"Seeing Between the Pixels","This book studies pictures-and to a certain extent also language-from a computer scientists' point of view.","book","Otto-von-Guericke University of Magdeburg","1994","","διαφάνεια","1","0","Computer Science","","","Strothotte  Thomas","Helms  Christine","",""
"Seminars Technology for the Disabled","Proceedings of Seminars organized by the Minister of the family and Social Welfare with the support of the EEC-Bureau for Actions in favour of the Disabled.","proceedings","","1987","","paperback","1","0","Information Technology","","","","","",""
"Special Children ...Special Needs Provision in Ordinary Classrooms","The purpose of this book is to bring understanding of some important areas of concern about special educational needs and to present useful resources and appropriate teaching strategies.","book","Cassell Publishers Ltd","1991","0304323349","paperback","1","0","Disability","","","Moore  Maggie","","",""
"Special Education Catalogue","This catalogue is a compilation of software and hardware items suitable for children or adults with special educational needs.","directory","Council for Educational Technology","1985","","paperback","1","0","","","","","","",""
"Special Educational Needs Report of the Committee of Enquiry into the Education of Handicapped Child","This report concerns the education & employment of handicapped children and young people. It also considers the social aspects of their needs, relationship between different professionals involved, the contribution and needs of their parents.","book","HMSO Publications Centre","1989","010172120X","paperback","1","0","","","","","","",""
"Special Needs in Ordinary Schools (Children with Speech & Language Difficulties)","","book","Cassell Publishers Ltd","","","","1","0","","","","McGettric D. Andrew","","",""
"Specifications of the Man-Machine Interface in Computerized Workstations for the Blind","Report of a Workshop held at the Institute for Rehabilitation Research at Hoensbroek, The Netherlands, June 11-12, 1987.","report","Institute for Rehabilitation Research","1987","","paperback","1","0","","","","","","",""
"Standards in Healthcare Informatics and Telematics","1. Scope and organisation of CEN/TC 251 2. Synergy with R&D programmers 3. Liaison with other standards bodies and organisations 4. CEN/TC 251 Working Group 1-7","guide","European Commission","1996","","paperback","2","0","Telematics","","","Van Maele  G.","","",""
"Starting out in Maths Book 1 Project 7-11","This book covers: Basic Number, Place value, Number games, Measurement, Shape, Pictorial representation, Logic.","book","Charles Letts & Co Ltd","1989","0850978343","paperback","1","0","","","","Ellis  Valerie","Boucher  Jim","",""
"Still Picture Telephones for Persons with Profound Mental Retardation","In this report the importance of the opinions and attitudes to the use of still picture telephones for people with mental retardation is stressed.","report","Swedish Telecom/Televerket","1993","","paperback","1","0","Disability","","","Bjorck-Akesson  Eva","","",""
"Systems Analysis","This book deals with the technical aspects of systems analysis and design, including data analysis and all the main types of systems development methodologies.","book","Macmillan Press","1992","0333569849","paperback","1","0","","","","Davies  Garth","","",""
"Tactile Displays for the Visually Disabled a Market Study","This report includes a market survey of existing tactile displays for visually disabled people.","report","Swedish Institute for the Handicapped","1987","","paperback","2","0","","","","","","",""
"Teaching and Training the Handicapped through the New Information Technology","This report is intended to give a survey of current possibilities for teaching and training the handicapped through the new information technology.","report","Commission of the European Communities","1984","9282545733","paperback","1","0","Disability","","","","","",""
"Technical Aids and Information Perspectives from 11 Countries","Report from the ICTA Seminars in: Tokorozawa, Japan on September 1, 1988 and Stockholm, Sweden on June 17, 1987","report","ICTA Information Centre","1989","9186310615","paperback","1","0","","","","","","",""
"Technical Aids for the Speech-Impaired","An international survey on research and development projects","report","ICTA Information Centre","March 1978","","paperback","1","0","","","","","","",""
"Technical Aids for the Speech-Impaired (Second Publication)","This report gives an account of the needs of the speech-impaired in terms of aids.","report","ICTA Information Centre","Sept 1978","","paperback","1","0","","","","Tenenholtz  Elisabet","Galyas  Caroly","",""
"Technical Development Newsletter","This report concerns the development of Technical Aids for the Blind.","report","RNIB (Royal National Institute for the Blind)","1990","","paperback/spiral","3","0","","","","","","",""
"Technical Group Reports Executive Summary","This report contains a summary of the results of the RACE Concertation Technical Workshop held from March to May 1994","report","Commission of the European Communities","1994","","without cover","1","0","","","","","","",""
"Technical System Specification of Comspec Release 1","Content model of a Comspec system","book","","1995","","paperback","1","0","","","","Morton  Lewis","Stegavik  Harald","Stav  Erlend",""
"Technicals Aids for Communication, Manipulation and Environmental Control","Proceedings of the topical workshop held in Paris, France concerning Technical Aids","proceedings","Commission of the European Communities/COMAC BME","1986","","paperback","2","0","","","","","","",""
"Technologies Hypermedias: Implication pour l' Enseignement aux Jeunes Deficients Visuels","Proceedings που αφορούν εκπαίδευση ατόμων με προβλήματα όρασης.","proceedings","INSERM/CNEFEI","1991","2855984955","paperback","1","0","","","","Barker  Philip","Rousseau  Alain","Fluhr  Christian","Speradio  Jean-Claude"
