Author1,Author2,Author3,Author4,Category,CopiesNo,CoverType,ISBN,PhotocopiesNo,PublicationYear,Publisher,Theme,Title,Topic1,Topic2,Topic3
,,,,guide,1,paperback,,0,1991,apple computer,"this guidebook describes prototyping tools, development environment and languages, object-oriented programming, unix tools, programmable databases and spreadsheets, authoring tools, debuggers...",macintosh development tools & languages guide book,,,
vlaskamp m. f.j.,soede  m.,butcher  g.,,report,1,spiral,0901797464,0,1988,rnib (royal national institute for the blind),"this report includes papers on graphics, man-machine interaction and applications.","man-machine interfaces, graphics and practical applications",,,
bayraktar a. bulent,,,,proceedings,0,spiral,,1,1990,industrial engineering and management press,proceedings of the second international conference on management of technology.,management of technology ii (volume i),,,
,,,,report,1,paperback,,0,1989,commission of the european communities,report of an external audit team,"programme management audit of race, drive, delta and aim",,,
rodda  george,,,,book,1,paperback,0850978416,0,1989,letts,"this book is a lively and imaginative way to give your child a flying start in maths, a start which could be vital to later educational success.",project 7-11: exploring maths book 2,,,
,,,,report,1,paperback,,0,1987,commission of the european communities,"this report includes the explotation of the advances in information technologies, telecommunications to improve medical care.",proposal for a council regulation on a community action in the field of information technology and t,,,
jacobsen kofoed henrik,jakobsen kvistgaard leif,,,report,1,paperback,,0,1986,commission of the european communities,the overall orientation of the proposal is to promote the development of new technologies in biotechnology and information technology and their application in the european economy.,proposal for a european action plan in bio-informatics,,,
mayer  renate,,,,report,1,διαφάνεια,,1,1988,esprit,this report describes the prototype of the glot termbank.,prototype of the termbank and its user interface,,,
stephanidis  constantine,gill m. john,fellbaum r. klaus,fellbaum r. klaus,report,1,paperback,,0,1993,guib consortium,this report includes papers on graphical user interfaces for blind people,publications from the guib project up to september 1993,,,
,,,,report,1,paperback,,0,1993,commission of the european communities,this report is on management and evaluation of the race programme.,"r & d in advanced communications technologies for europe (race), final report on phase i (1988-92)",,,
,,,,report,1,paperback,,0,1994,commission of the european communities,this report is on communication technologies of the race programme,"r & d in advanced communications technologies for europe (race), mid-term report on phase ii (1991-9",,,
,,,,report,1,paperback,,0,1990,commission of the european communities,this report describes the current status and future activities of the race programme as it enters its third year.,"r & d in advanced communications technologies in europe, race '90",,,
,,,,report,2,paperback,,0,1990,commission of the european communities,"background material-rationale & overview, definition of scope and task descriptions","r & d in advanced communications technologies in europe, workplan '91",,,
,,,,report,1,paperback,,0,1991,commission of the european communities,this report has been produced with the intention of informing all interested parties about the scope of all the existing projects.,"r & d in advanced road transport telematics in europe, drive'91",,,
ott w. karl,,,,report,1,paperback,,0,1991,commission of the european communities,"this report concerns the area ""administrations"" of the programme telematic systems of general interest.",r & d on telematic systems for administrations,,,
,,,,report,3,paperback,,0,1991,commission of the european communities,"this report provides the rationale and overview, definition of scope, and task description.","r & d on telematic systems for administrations, workplan '91",,,
,,,,report,2,paperback,,0,1991,commission of the european communities,"this report describes workplan '91 concerning the specific programme of ""telematics systems for flexible and distance learning"".","r & d on telematic systems in flexible and distance learning, workplan '91",,,
,,,,report,1,paperback,,0,1991,commission of the european communities,"backgroud material - rationale & overview, definition of scope and task descriptions -","r & d on telematic systems in health care, workplan '91",,,
moseley  alan,de bruijn  bas,cannon  elaine,,report,1,paperback,,0,1992,commission of the european communities,this report describes the r & d on transeuropean telematic systems for administrations.,"r & t development on transnational telematic systems for administrations, ens 1992",,,
,,,,report,4,paperback,,0,1990,commission of the european communities,"delta addresses issues related to the use, for learning, of new emerging technologies in the areas of information technology, telecommunications and broadcasting.","r&d in information and communication based learning technology, delta '90",,,
,,,,report,4,paperback,,0,1990,race r1045 project consensus management,this document is a brief outline of race project.,race common functional specifications,,,
,,,,report,1,paperback,,0,1993,race r2083 project consensus management,this document reflects the progress made in race cfs/cpr over the last twelve months.,"race common functional specifications and common practice recommendations, document 14, usability an",,,
,,,,report,2,paperback,9282630064,0,1990,commission of the european communities,"this document concerns mainly the reference models of ibc, description of an ibc service and description of a multi-media conference service.","race common functional specifications, document 1, general aspects of ibc and ibc services",,,
,,,,report,1,paperback,,0,1991,race r1045 project consensus management,this document concerns mainly the multistage approach for the description and characterisation of telecommunication services and ibc services.,"race common functional specifications, document 1, general aspects of ibc and ibc services",,,
,,,,report,1,paperback,,0,1991,race r1045 project consensus management,"this document includes: usability requirements for ibc, user characteristics relevant to design and uptake of ibc services, protocol conformance testing","race common functional specifications, document 10, usability requirements and protocol conformance",,,
,,,,report,1,paperback,,0,1991,race r1045 project consensus management,this document concerns vocubulary of terms for ibc.,"race common functional specifications, document 11, general terminology",,,
,,,,report,1,paperback,,0,1990,race r1045 project consensus management,this document concerns the ibc functional reference model (ibc frm),"race common functional specifications, document 2, networking and internetworking 1",,,
,,,,report,1,paperback,,0,1991,race r1045 project consensus management,"this document includes: frm & prm, connection types, and network evolution.","race common functional specifications, document 2, networking and internetworking 1",,,
,,,,report,1,paperback,,0,1991,race r1045 project consensus management,"this document includes: reference configurations, quality of service, signalling, and network performance objectives.","race common functional specifications, document 3, networking and internetworking 2",,,
,,,,report,1,paperback,,0,1990,race r1045 project consensus management,this document is based on work in the network management projects.,"race common functional specifications, document 6, network management",,,
,,,,report,1,paperback,,0,1991,race r1045 project consensus management,"this document concerns i) general aspects of audio-visual services within ibc, ii) cpn reference configurations and functional models, iii) network evolution iv) tmn evolution","race common functional specifications, document 7, network evolution terminals and cpn",,,
,,,,report,1,paperback,,0,1991,race r1045 project consensus management,"this document includes mainly design, planning, installation services in tmn, security management","race common functional specifications, document 7, network management services",,,
,,,,report,1,paperback,,0,1991,race r1045 project consensus management,this document concerns vocubulary of terms for ibc.,"race common functional specifications, document 8, general terminology",,,
,,,,report,1,paperback,,0,1991,race r1045 project consensus management,"this document includes tmn evolution, tmn reference configuration and evolution methodologies.","race common functional specifications, document 8, network management evolution",,,
,,,,report,1,paperback,,0,1991,race r1045 project consensus management,"this document concerns mainly the general principles of video coding, cpn transmission and switching systems.","race common functional specifications, document 9, coding, terminals and cpn",,,
,,,,report,1,paperback,,0,1991,race r1045/1077 project consensus management,this document lists the ibc common functional specifications as defined by r1045 and identifies the usage implications of each.,"race common functional specifications, usage implications",,,
,,,,report,1,spiral,,0,1987,commission of the european communities,this document provides a virtually complete summary of the many results of the rdp (race definition phase).,race consolidate preliminary report of the rdp projects,,,
,,,,report,1,spiral,,0,1988,commission of the european communities,this report contains deliverables by project.,race project deliverables,,,
,,,,proceedings,1,spiral,,0,,,contents pages from resna proceedings 1984-1988 aac journal 1985-1988 (resna 7th annual conference),race project integration of people with special needs in ibc,,,
,,,,proceedings,1,paperback,9211165954,0,1995,united nations,"part 1: selected papers, part 2 : proceedings of the rehab-3 workshop, part 3: reports on the series of workshops on rehabilitation engineering",rehabilitation engineering,rehabilitation engineering,,
milner  morris,revzani  julie,smith  brad,,report,1,paperback,,0,1994,the hugh macmillan rehabilitation centre,this report provides insights into our future directions for facilitating the needs of phisically disabled children and young adults through the applications of science and technology.,rehabilitation engineering department annual report 1993/94,,,
schuller  reinhard,shein  fraser,,,report,1,paperback,,0,1995,the hugh macmillan rehabilitation centre,this report of the 1994/95 activities provides an insight into our diverse activities and acknowledges the generous support of our many contributors.,rehabilitation engineering department annual report 1994/95,,,
,,,,report,1,paperback,,0,1993,the hugh macmillan rehabilitation centre,the reports in this document reflect work completed or in progress between january 1992 and march 1993.,"rehabilitation engineering department, annual report 1992/93",,,
,,,,report,1,paperback,,0,1990,department of veterans affairs veterans health administration,"this report is an annual supplement to the journal of rehabilitation r&d, and is the seventh compilation of ongoing work in rehabilitation research and engineering activity.",rehabilitation r&d progress reports 1989,,,
mcaleer  neil,,,,report,1,paperback,,0,1996,department of veterans affairs veterans health administration,"this report is an annual supplement to the journal of rehabilitation r&d, and contains on going work in rehabilitation research and engineering activities.",rehabilitation r&d progress reports 1989,,,
,,,,report,1,paperback,,0,1992,department of veterans affairs veterans health administration,"this report is an annual supplement to the journal of rehabilitation r&d, and contains ongoing work in rehabilitation research and engineering activity.",rehabilitation r&d progress reports 1991,,,
,,,,report,1,paperback,,0,1994,department of veterans affairs veterans health administration,"this report is an annual supplement to the journal of rehabilitation r&d, and contains work in the field of rehabilitation research and development both 1992 and 1993.",rehabilitation r&d progress reports 1992-1993,,,
enders  alexandra,,,,proceedings,1,paperback,0932101143,0,1987,resna press,this publication represents the cornerstone of a new era in rehabilitation engineering and technology.,rehabilitation technology service delivery: a practical guide,,,
stubb  henrik,,,,report,1,διαφάνεια,,0,,technical research centre of finland,this report presents some existing technical devices used as a reading aid for the blind.,report on active materials for a tactile display,technical aids,,
,,,,report,1,paperback,,0,1986,commission of the european communities,"this is a brief overview of information technology in the health sector, in european countries.",report on administrative & management information in hospitals,,,
,,,,report,2,paperback,,0,1991,commission of the european communities,this report presents the achievements and the status of the race programme by the end of 1990 and describes the planning and the continuing activities for 1991.,"research & development in advanced communications technologies in europe, race'91",,,
,,,,report,1,paperback,9282600009,0,1994,commission of the european communities,this report represents the achievements and the status of the race programme at the end of 1993 and describes the planning and the continuing activities for 1994.,research and technology development in advanced communications technologies in europe race 1994,,,
,,,,report,1,paperback,9282695506,0,1995,commission of the european communities,this report is the result of a collective effort of the race projects and the race team of the european commission for 1995.,research and technology development in advanced communications technologies in europe race 1995,,,
heenan  nick,,,,report,1,paperback,,0,1992,commission of the european communities,"this report presents the achievements and the status of the race programme at the end of 1991, and describes the planning and the continuing activities for 1992.","research and technology development in advanced communications technologies in europe, race 1992",,,
,,,,report,2,paperback,,0,1993,commission of the european communities,this report represents the achievements and the status of the race programme at the end of 1992 and describes the planning and the continuing activities for 1993.,"research and technology development in advanced communications technologies in europe, race 1993",,,
murphy  eddie,,,,report,1,paperback,,0,1992,commission of the european communities,this report provides all interested parties with information on the overall strategic impact of the drive programes.,research and technology development in advanced road transport telematics drive 1992,,,
,,,,report,1,paperback,,0,1993,commission of the european communities,this document is one of seven annual reports  on the ec programme for the development of telematic systems in areas of general interest.,research and technology development in advanced road transport telematics transport telematics 1993,,,
,,,,report,1,paperback,,0,1992,commission of the european communities,this volume is a description of the technical content of the health care action line under the r&d programme for telematics systems of general interest.,"research and technology development on telematic systems in health care, aim 1992",,,
,,,,report,2,paperback,,0,1993,commission of the european communities,this volume is a description of the framework and of the technical content of the aim programme of the commmission of the european communities.,"research and technology development on telematic systems in health care, aim 1993",,,
butcher  g.,,,,book,2,paperback,0901797588,0,1990,rnib technical r&d department,this guide lists projects on non-medical research for visually disabled people that are being carried out in 1990.,research for visually disabled people: an international guide,,,
,,,,book,1,paperback,0901797812,0,1992,rnib technical r&d department,this guide lists projects being carried out on non-medical research for visually disabled people.,research for visually disabled people: an international guide,,,
,,,,report,1,διαφάνεια,,0,1989,technical research centre of finland,the objective of this study is to develop a methodology for the assessment of the cost-effectiveness of technical aids for disabled people at the individual and at the general level.,research group for rehabilitation engineering,,,
peuleve a. c.,,,,report,1,paperback,,0,1993,tiresias consortium,this section contains information about non-media research and developments projects for persons with a visual disability.,research information handbook of assistive technology for visually disabled persons,,,
silver  janet,gould  e.,,,report,1,ντοσιέ,1860480004,0,1994,tiresias consortium,this is the first draft of a subject thesaurus for the tiresias system and contains information about non-medical research and development projects for persons with a visual disability.,research information handbook of assistive technology for visually disabled persons,,,
,,,,report,1,paperback,,0,1989,institute for rehabilitation research,this report references to four main topics a) communication b) mobility and transportation c) patient-related research and d) independent living and working.,research report 1988,,,
,,,,report,1,paperback,,0,1991,institute for rehabilitation research,"1. augumentative and alternative communication research 2. patient-related rehabilitation research 3. independent living research, 4. survey of irv research projects",research report 1990,,,
amano  hideharu,,,,report,1,paperback,,0,1995,department of computer science keio university,this volume represents the research progressed fully or partly during april 1994 - march 1995 in anzai-amano laboratories.,research reports anzai-amano laboratory april 1994 through march 1995,,,
leitsch  a.,tammet  t.,zamov  n.,,book,1,paperback,3540567321,0,1993,springer-verlag berlin,"this volume contains work on the decision problem done in kazan(russia), tallinn (estonia) and vienna (austria).",resolution methods for the decision problem,,,
,,,,proceedings,1,paperback,,0,1987,commission of the european communities/comac bme,"proceedings of the topical workshop held in enschede, the netherlands concerning functional electrical stimulation.",restoration of walking aided by functional electrical stimulation,,,
,,,,proceedings,1,paperback,,0,1986,commission of the european communities comac bme,"proceedings of the topical workshop held in oswestry, shropshire, england march 1985",restoration of walking for paralysed persons,,,
,,,,book,1,hardbound,0004331761,0,1988,collins publishers,"this book has a text of about 250000 words and phrases, arranged in categories by their meanings, and a comprehensive index.",roget's international thesaurus fourth edition,,,
,,,,report,0,spiral,,1,1994,european commission,σεμινάρια για την ενεργοποίηση της ερευνας και τεχνολογικής ανάπτυξης κοινωτικό πλαίσιο στήριξης 1994-1999.,rtd mobilisation seminars,,,
strothotte  thomas,helms  christine,,,book,1,διαφάνεια,,0,1994,otto-von-guericke university of magdeburg,this book studies pictures-and to a certain extent also language-from a computer scientists' point of view.,seeing between the pixels,computer science,,
,,,,proceedings,1,paperback,,0,1987,,proceedings of seminars organized by the minister of the family and social welfare with the support of the eec-bureau for actions in favour of the disabled.,seminars technology for the disabled,information technology,,
moore  maggie,,,,book,1,paperback,0304323349,0,1991,cassell publishers ltd,the purpose of this book is to bring understanding of some important areas of concern about special educational needs and to present useful resources and appropriate teaching strategies.,special children ...special needs provision in ordinary classrooms,disability,,
,,,,directory,1,paperback,,0,1985,council for educational technology,this catalogue is a compilation of software and hardware items suitable for children or adults with special educational needs.,special education catalogue,,,
,,,,book,1,paperback,010172120x,0,1989,hmso publications centre,"this report concerns the education & employment of handicapped children and young people. it also considers the social aspects of their needs, relationship between different professionals involved, the contribution and needs of their parents.",special educational needs report of the committee of enquiry into the education of handicapped child,,,
mcgettric d. andrew,,,,book,1,,,0,,cassell publishers ltd,,special needs in ordinary schools (children with speech & language difficulties),,,
,,,,report,1,paperback,,0,1987,institute for rehabilitation research,"report of a workshop held at the institute for rehabilitation research at hoensbroek, the netherlands, june 11-12, 1987.",specifications of the man-machine interface in computerized workstations for the blind,,,
van maele  g.,,,,guide,2,paperback,,0,1996,european commission,1. scope and organisation of cen/tc 251 2. synergy with r&d programmers 3. liaison with other standards bodies and organisations 4. cen/tc 251 working group 1-7,standards in healthcare informatics and telematics,telematics,,
ellis  valerie,boucher  jim,,,book,1,paperback,0850978343,0,1989,charles letts & co ltd,"this book covers: basic number, place value, number games, measurement, shape, pictorial representation, logic.",starting out in maths book 1 project 7-11,,,
bjorck-akesson  eva,,,,report,1,paperback,,0,1993,swedish telecom/televerket,in this report the importance of the opinions and attitudes to the use of still picture telephones for people with mental retardation is stressed.,still picture telephones for persons with profound mental retardation,disability,,
davies  garth,,,,book,1,paperback,0333569849,0,1992,macmillan press,"this book deals with the technical aspects of systems analysis and design, including data analysis and all the main types of systems development methodologies.",systems analysis,,,
,,,,report,2,paperback,,0,1987,swedish institute for the handicapped,this report includes a market survey of existing tactile displays for visually disabled people.,tactile displays for the visually disabled a market study,,,
,,,,report,1,paperback,9282545733,0,1984,commission of the european communities,this report is intended to give a survey of current possibilities for teaching and training the handicapped through the new information technology.,teaching and training the handicapped through the new information technology,disability,,
,,,,report,1,paperback,9186310615,0,1989,icta information centre,"report from the icta seminars in: tokorozawa, japan on september 1, 1988 and stockholm, sweden on june 17, 1987",technical aids and information perspectives from 11 countries,,,
,,,,report,1,paperback,,0,march 1978,icta information centre,an international survey on research and development projects,technical aids for the speech-impaired,,,
tenenholtz  elisabet,galyas  caroly,,,report,1,paperback,,0,sept 1978,icta information centre,this report gives an account of the needs of the speech-impaired in terms of aids.,technical aids for the speech-impaired (second publication),,,
,,,,report,3,paperback/spiral,,0,1990,rnib (royal national institute for the blind),this report concerns the development of technical aids for the blind.,technical development newsletter,,,
,,,,report,1,without cover,,0,1994,commission of the european communities,this report contains a summary of the results of the race concertation technical workshop held from march to may 1994,technical group reports executive summary,,,
morton  lewis,stegavik  harald,stav  erlend,,book,1,paperback,,0,1995,,content model of a comspec system,technical system specification of comspec release 1,,,
,,,,proceedings,2,paperback,,0,1986,commission of the european communities/comac bme,"proceedings of the topical workshop held in paris, france concerning technical aids","technicals aids for communication, manipulation and environmental control",,,
barker  philip,rousseau  alain,fluhr  christian,speradio  jean-claude,proceedings,1,paperback,2855984955,0,1991,inserm/cnefei,proceedings που αφορούν εκπαίδευση ατόμων με προβλήματα όρασης.,technologies hypermedias: implication pour l' enseignement aux jeunes deficients visuels,,,
duggan  carmel,dolphin  ciaran,,,report,1,paperback,,0,1991,work research centre/ekos/ european commission,the role of technology in prolonging the independence of the elderly in the community care context.,technology and the elderly,information technology,,
,,,,report,1,paperback,9282648265,0,1992,ecsc-eec-eaec,the report examines the needs of the elderly living in the community and explores the role of technology in meeting these needs.,technology and the elderly,,,
,,,,report,1,without cover,,0,1991,,"this report concerns technology assessment (box rehab-2, group-lib).",technology assessment: the challenge for rehabilitation engineering,,,
,,,,report,1,paperback,0112707092,0,1992,hmso publications centre,proposals of the secretary of state for education and the secretary of state for wales.,technology for ages 5 to 16 (1992),educational technology,,
,,,,guide,1,paperback,,0,1994,european commission,project groupings/ project synopses. listing of tide pilot phase projects,technology initiative for disabled and elderly people - bridge phase - synopses,,,
,,,,report,1,paperback,,0,1991,etsi (european telecommunications standards institute),etsi pt6v data base,telecommunication facilities for people with special needs data base,disability,,
hjorne  flemming,klaus  harald,knight  jack,lindstrom  bjorn,report,2,paperback,,0,1991,etsi (european telecommunications standards institute),this report describes a methodology for evaluating the present standardisation situation in europe of telecommunication facilities for psn.,telecommunication facilities for people with special needs stage 1: standardisation situation,,,
,,,,report,1,paperback,,0,1987,swedish institute for the handicapped,this report describes telematical systems and devices for disabled persons.,telecommunication for disabled people - the tdp report,,,
,,,,report,1,paperback,,0,1991,commission of the european communities,"proceedings of the workshop tbt, in madrid, january, 21-22 1991.",telecommunications-based training for the 1990's,,,
,,,,report,1,paperback,,0,1991,resna press,"this book provides basic information about telecommunications technologies that can be used to deliver training, education, public awareness activities and other technology-related services to distant locations.",telecommunications technologies to deliver assistive technology services,,,
,,,,directory,1,ντοσιέ,,0,1992,danish centre,telephone guide for psn.,telefoner til alle - guide til et handicaprigtigt telefon  valg,,,
bierg  jorgen,hoeg  mogens,wiederholt  mogens,,directory,1,paperback,8789407342,0,1993,,katalog til valg af telekommunikationshjaelpemidler,telehjaelpemidler,,,
,,,,report,1,paperback,,0,1991,commission of the european communities,this report provides an overview of the main implications of the outcome of the delta exploratory action for future research in the area of telematic systems for flexible and distance learning.,telematic networks for flexible and distance learning,,,
,,,,report,3,paperback,,0,1990,swedish institute for the handicapped,"this report is intended to give an insight into legislation, products, services and research & development in the field of telecommunications in the usa.",telematics and disability in the usa,disability,,
,,,,report,1,paperback,,0,1995,european commission,essential information for proposers,telematics applications programme (1994-1998) information package,,,
,,,,report,1,paperback,,0,1990,swedish institute for the handicapped,"the results of the first phase of the sub-projects, called isdn video communication are summarized in this report.",tests with bit-saving video communication for sigh language and lip reading,,,
,,,,report,1,διαφάνεια,,0,1993,infologics ab/bellcore,this report concerns the overall text telephony standardization.,text conversation through telecommunications networks cost 220,,,
,,,,report,2,paperback,11029609,0,1992,swedish telecom/infologics ab,"this report gives an initial overview of the possible advantages and possibilities for the implementation of text telephony in isdn, and to propose actions for the future.",text telephony in isdn features-economics-implementation,,,
bornschein  j.,gunzenhauser  r.,stephanidis  constantine,gill m. john,report,1,paperback,,0,1992,guib consortium,this report concerns the accessibility of graphic user interfaces by blind users.,textual and graphic user interfaces for blind people six-montly report,,,
,,,,report,0,spiral,,1,1988,university of kent,this report examines the way in which icons act as encapsulated shorthand for previous knowledge and experience .,that an icon-based interface assists the user of a computer system in relating previous knowledge an,,,
,,,,report,1,διαφάνεια,,0,1987,esprit,report on the collection of computer human factors (chf) information.,the 1987 computer human factors classification and thesaurus and the collation of computer human fac,,,
,,,,proceedings,2,paperback,8885936016,0,1988,commission of the european communities comac bme,"proceedings of the workshop held at the vocational rehabilitation centre in heidelberg, west germany",the adaptation of cars for paralysed persons,,,
,,,,directory,1,paperback,,0,1995,aaai press,the societies: american association for artificial intelligence/ acm special interest group in artificial intelligence (sigart)/ canadian society for computational studies of intelligence/ fellows/ members,the ai directory 1995-1996,,,
brodin  jane,,,,report,1,paperback,,0,1984,swedish institute for the handicapped,results of interviews with 10 fammilies concerning handicap aids,the aid's requirements of children with several multiple handicaps and the people looking after them,,,
,,,,report,1,without cover,,0,1992,cnr,this report is focused on a broadband communication experiments carried out in this framework and referred to the activities of the telecommunication project.,the atm test-bed in the cnr telecommunication project: a first demonstration,,,
,,,,book,0,spiral,,1,1978,,"this book outlines principles of teaching and teaching techniques, for any teacher or speech therapist who is involved in teaching dyslexic children.",the bangor dyslexia teaching system,disability,,
,,,,book,1,paperback,0631172475,0,1990,basil blackwell ltd,this book is a guide to marketing for small businesses.,the barclays guide to marketing for the small business,,,
stucky ward  donna,,,,book,1,paperback,0923667008,0,1986,the c user's group,this book catalogs and indexes the first 99 volumes of the c user's group library.,the c user's group library a directory of public domain c source code,,,
,,,,book,1,paperback,0923667024,0,1989,r & d publications,this book catalogs and indexes volumes 200-249 of the c users' group library,the c user's group library a directory of user-supported c source code volume ii,,,
ward  robert,,,,book,1,paperback,0923667032,0,1992,r & d publications,this book catalogs and indexes volumes 250-299 of the c users' group library.,the c user's group library a directory of user-supported c source code volume iii,,,
,,,,book,1,paperback,0923667040,0,1992,r & d publications,this book catalogs and indexes volumes 300-349 of the c users' group library.,the c user's group library a directory of user-supported c source code volume iv,,,
hansen l. tony,,,,book,1,paperback,0201114976,0,1990,at&t bell telephone laboratories,this book includes numerous examples and a significant amount of code that will assist all programmers who want to expand their applications of the c++ language.,the c++ answer book,,,
dopping  olof,,,,report,1,paperback,,0,1988,swedish institute for the handicapped,this report is primarily focussed on service to disabled people applications.,the chord keyboard report - writing clear text with the speed of speech,,,
,,,,book,1,paperback,0862710901,0,1988,vnu business publications,"industry information, computers systems, computer peripherals and data preparation equipment, communications equipment and services, addresses of manufactures.",the computer users year book 1989 equipment,,,
,,,,book,1,paperback,0862710928,0,1988,vnu business publications,"installations by post town, index by manufacturer name, index by time sold, alphabetical index, cross-reference listings.",the computer users year book 1989 installations,,,
,,,,book,1,paperback,086271091x,0,1988,vnu business publications,"insurance services, disaster recovery, maintenance, service bureaux, facilities management, data preparation services, training services, market research.",the computer users year book 1989 services,,,
,,,,book,1,paperback,0862710936,0,1988,vnu business publications,"computer systems and hardware, communications hardware, systems and interfaces, consumables, forms handling and microform, security and safety, special purpose equipment and services, supplier details.",the computer users year book 1989 suppliers guide,,,
,,,,report,1,hardbound,,0,feb 1994,,this thesis concerns the design of a novel interface development architecture.,the concept of dual interfaces and the design of a uims-based development framework,,,
hymas  mel,jannsen  frists,mccann  john,sandhu s. jim,book,1,paperback,,0,1984,newcastle,"this catalogue aims to inform the general public, parents, professionals and disabled people themselves of the latest developments of information technology aids for those with special needs through 'hands on' experience.",the concerned technology electronics aids for those with special needs,technical aids,,
,,,,book,1,paperback,0862710952,0,1988,vnu business publications,"equipment and systems section, services section, comms software, suppliers guide, major comms sites, supplier details.",the datacomms book 1989,,,
,,,,book,1,hardbound,0065013646,0,1991,harper collins publishers,two of the most powerful resources in child development education have now joined forces to create an unprecedented multidimensional educational tool.,the developing child,,,
,,,,report,0,spiral,,1,1991,,"the present document constitutes the final report of the study entitled ""the economic dynamics of the cts industry in europe : strategy and policy for the next decade"".",the economic dynamics of the conformance testing services industry in europe : strategy and policy f,,,
,,,,directory,1,paperback,,0,,commission of the european communities,proposer's day list of participants,the esprit programme,,,
,,,,guide,1,paperback,,0,1987,commission of the european communities,esprit projects,the esprit programme project synopses esprit projects index and associated sub-programme overviews,,,
hoskyns  catherine,,,,directory,1,paperback,0905949072,0,1992,itcu and coventry polytechnic,"this guide is intended as a starting-point for people in business, employment, training, education and research, whose work requires them to seek information about the completion of the european market by 1992.",the europe 1992 directory a research and information guide,,,
,,,,book,0,spiral,0749400234,2,1989,british library cataloguing,the message of this book is that the politically-inspired processes of change in erope are occurring and moving at a rapid pace.,the european community: a guide to the maze,,,
,,,,book,0,spiral,0205076416,1,1982,allyn and bacon,"this book is intended to provide in an organized and illustrated manner, the essential physical, neurological, mental, behavioral, health and etiological information required by the professional worker for evaluation and program planning.",the handbook of clinical types in medical retardation,,,
wallace l. victor,chan  peggy,,,report,1,paperback,,0,1981,george washington university,"the purpose of this report is to provide a user with a medium for communication with a computer which is at once benign, responsive and graphic.",the human factors of graphic interaction tasks and techniques,,,
brodin  jane,,,,report,1,paperback,,0,1983,swedish institute for the handicapped,this booklet describes the perspective of piagets's theory of intellectural development capacity.,the intellect and intellectual handicaps,disability,,
,,,,book,1,hardbound,0004330587,0,1984,collins publishers,"this thesaurus provides over 275000 alternatives for 16000 main entry words, an average of 17 substitutes for every entry word.",the new collins thesaurus,,,
sykes b. j.,,,,book,1,hardbound,1851520627,0,1987,chancellor press,"in this dictionary, the compilers have tried to present the maximum amount of useful information on present-day english that can be got into an easily partable volume.",the oxford combined dictionary of current english & modern english usage,,,
fletcher j. p.,,,,book,1,paperback,014051189x,0,1987,penguin books,"this book provides a group of synonyms, a full and clear definition of each word in the group, examples of the different ways in which the words can be used and a list of antonyms.",the penguin modern guide to synonyms and related words,,,
,,,,book,0,spiral,0960916016,1,1985,mayer-johnson company,this book is designed to provide additional symbols to the original pcs.,the picture communication symbols book ii,,,
,,,,book,1,hardbound,027303345x,0,1987,pitman publishing,"this book teaches business people how to write complex reports, analyses and presentations so that can be clearly understood.",the pyramid principle logic in writing and thinking,,,
rubinsky  yuri,,,,book,0,without cover,0198537379,1,1990,oxford university press,"this book contains all of the text of iso 8879-the sgml standard-extensively annotated, together with a structured overview and additional tutorial and reference material of sgml",the sgml handbook,,,
,,,,book,1,paperback,0862710995,0,1989,vnu business publications,"software written for a range of industries together with indexes by category, manufacturer and operating system.",the software users year book 1990 general applications software,,,
,,,,book,1,paperback,0862710987,0,1989,vnu business publications,"software written for specific industries and professions with indexes by industry, application, manufacturer and operating system.",the software users year book 1990 industry-specific software,,,
,,,,book,1,paperback,0862710960,0,1989,vnu business publications,"contains master profiles of all companies and lists of products and services they supply, the services sections and an a-z of all products in the book.",the software users year book 1990 software suppliers & services,,,
,,,,book,1,paperback,0862710979,0,1989,vnu business publications,"software listings of all systems products together with indexes by category, manufacturer and operating system.",the software users year book 1990 systems software,,,
,,,,report,3,paperback,,0,1992,guib consortium,this document is a brief outline of guib project.,the tide guib project,,,
howard  judy,,,,directory,1,διαφάνεια,,0,1993,ucla,"policy/information, technical support, orders/inquiries",the ucla/lausd microcomputer project,,,
,,,,report,1,spiral,0901797472,0,1989,rnib (royal national institute for the blind),this report includes papers of a workshop that his basic goal is to identify priorities for future research on terminals for use by visually disabled persons.,the use of terminals by visually disabled persons,,,
asp w. carl,,,,report,1,paperback,,0,1983,int.exchange of information in rehabilition,this report concerns communication needs of individuals with hearing impairments.,the verbo-tonal method for rehabilitating people with communication problems,,,
,,,,report,1,without cover,,0,1972,the center of research of special education and school adaptation,i. theoretical basis of the verbotonal method ii. the method of education and rehabilitation of speech,the verbotonal method in rehabilitation of hearing and speech problems and a method in language teac,,,
stone m. juliet,,,,book,1,paperback,0304314005,0,1988,cassell publishers ltd,in this book the term 'visually handicapped' is used to describe those children whose vision impairment interferes with their ability to learn and achieve.,the visually handicapped child in your classroom,disability,,
,,,,proceedings,1,paperback,0852963823,0,1989,iee,these proceedings of the third international conference on image processing and its applications.,third international conference on image processing and its applications,graphics programming,,
,,,,report,1,paperback,,0,1992,commission of the european communities,this document is structured in three parts 1. rationale and overview 2. description of the scope of the r&d work 3. r&d task descriptions.,tide 2nd phase workplan draft,,,
,,,,guide,1,paperback,9282657051,0,1993,commission of the european communities,this booklet presents the updated synopses of the 21 projects funded in the tide pilot action,tide pilot action synopses,,,
